name,category,osm_type,osm_id,latitude,longitude,map_link,map_preview_link,address,summary,alignment_to_downtown_perks,operating_hours,contact_phone,contact_email,website,specials,deals_offers,events_available,source,last_enriched_utc
Casino El Camino,Bar / Nightlife,node,3190873011,30.266501,-97.73766,https://www.openstreetmap.org/node/3190873011#map=19/30.266501/-97.737660,https://www.openstreetmap.org/?mlat=30.266501&mlon=-97.737660#map=18/30.266501/-97.737660,"517, East 6th Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-469-9330,,http://www.casinoelcamino.net/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Cedar Street Courtyard,Bar / Nightlife,way,1135532954,30.266986,-97.74525,https://www.openstreetmap.org/way/1135532954#map=19/30.266986/-97.745250,https://www.openstreetmap.org/?mlat=30.266986&mlon=-97.745250#map=18/30.266986/-97.745250,"208, West 4th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo-Fr 17:00-02:00; PH closed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Chalmers,Bar / Nightlife,way,379195246,30.257968,-97.726288,https://www.openstreetmap.org/way/379195246#map=19/30.257968/-97.726288,https://www.openstreetmap.org/?mlat=30.257968&mlon=-97.726288#map=18/30.257968/-97.726288,"1700, East Cesar Chavez Street, Austin, TX, 78702",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Cheer Up Charlies,Bar / Nightlife,way,328649887,30.269626,-97.736383,https://www.openstreetmap.org/way/328649887#map=19/30.269626/-97.736383,https://www.openstreetmap.org/?mlat=30.269626&mlon=-97.736383#map=18/30.269626/-97.736383,"900, Red River Street, Austin, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,https://cheerupcharlies.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Cheers Shot Bar,Bar / Nightlife,node,3353621861,30.267022,-97.738625,https://www.openstreetmap.org/node/3353621861#map=19/30.267022/-97.738625,https://www.openstreetmap.org/?mlat=30.267022&mlon=-97.738625#map=18/30.267022/-97.738625,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-499-0093,,https://www.facebook.com/cheersshotbar,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Chess Club,Bar / Nightlife,node,3355462801,30.267258,-97.736747,https://www.openstreetmap.org/node/3355462801#map=19/30.267258/-97.736747,https://www.openstreetmap.org/?mlat=30.267258&mlon=-97.736747#map=18/30.267258/-97.736747,"617, Red River Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,https://chessclubaustin.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Chuggin' Monkey,Bar / Nightlife,node,1481633360,30.267196,-97.740725,https://www.openstreetmap.org/node/1481633360#map=19/30.267196/-97.740725,https://www.openstreetmap.org/?mlat=30.267196&mlon=-97.740725#map=18/30.267196/-97.740725,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Clive Bar,Bar / Nightlife,way,312335030,30.260062,-97.738624,https://www.openstreetmap.org/way/312335030#map=19/30.260062/-97.738624,https://www.openstreetmap.org/?mlat=30.260062&mlon=-97.738624#map=18/30.260062/-97.738624,"609, Davis Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo-Th 14:00-02:00; Fr-Su 12:00-02:00,,clivemgmt@dunlapatx.com,https://dunlapatx.com/clive-bar/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Coconut Club,Bar / Nightlife,way,1020979629,30.266324,-97.745192,https://www.openstreetmap.org/way/1020979629#map=19/30.266324/-97.745192,https://www.openstreetmap.org/?mlat=30.266324&mlon=-97.745192#map=18/30.266324/-97.745192,"310, Colorado Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",We-Su 21:00-02:00,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Codependent Cocktails + Coffee,Bar / Nightlife,node,8070341202,30.267451,-97.750793,https://www.openstreetmap.org/node/8070341202#map=19/30.267451/-97.750793,https://www.openstreetmap.org/?mlat=30.267451&mlon=-97.750793#map=18/30.267451/-97.750793,"301, West Avenue, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Su 09:00-21:00; Mo-We 08:00-23:00; Th 08:00-24:00; Fr 08:00-01:00; Sa 09:00-01:00,,,https://codependentatx.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Concrete Cowboy,Bar / Nightlife,way,99868632,30.270008,-97.750422,https://www.openstreetmap.org/way/99868632#map=19/30.270008/-97.750422,https://www.openstreetmap.org/?mlat=30.270008&mlon=-97.750422#map=18/30.270008/-97.750422,"719, West 6th Street, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Cosmic Saltillo,Bar / Nightlife,node,12668954619,30.262287,-97.729988,https://www.openstreetmap.org/node/12668954619#map=19/30.262287/-97.729988,https://www.openstreetmap.org/?mlat=30.262287&mlon=-97.729988#map=18/30.262287/-97.729988,"1300, East 4th Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Coyote Ugly,Bar / Nightlife,way,328607264,30.266477,-97.738202,https://www.openstreetmap.org/way/328607264#map=19/30.266477/-97.738202,https://www.openstreetmap.org/?mlat=30.266477&mlon=-97.738202#map=18/30.266477/-97.738202,"501, East 6th Street, Austin, TX, 78701",Bar / Nightlife listing operated by Coyote Ugly Saloon.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo-Th 17:00-02:00; Fr-Su 12:00-02:00,,,https://www.coyoteuglysaloon.com/austin/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
CU29 Cocktail Bar,Bar / Nightlife,node,2675162870,30.269053,-97.741148,https://www.openstreetmap.org/node/2675162870#map=19/30.269053/-97.741148,https://www.openstreetmap.org/?mlat=30.269053&mlon=-97.741148#map=18/30.269053/-97.741148,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Darwin's,Bar / Nightlife,node,1481633357,30.267299,-97.740594,https://www.openstreetmap.org/node/1481633357#map=19/30.267299/-97.740594,https://www.openstreetmap.org/?mlat=30.267299&mlon=-97.740594#map=18/30.267299/-97.740594,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Devil May Care,Bar / Nightlife,way,1243589077,30.269608,-97.747568,https://www.openstreetmap.org/way/1243589077#map=19/30.269608/-97.747568,https://www.openstreetmap.org/?mlat=30.269608&mlon=-97.747568#map=18/30.269608/-97.747568,"500, West 6th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Dirty Bill's,Bar / Nightlife,way,99868605,30.269624,-97.749402,https://www.openstreetmap.org/way/99868605#map=19/30.269624/-97.749402,https://www.openstreetmap.org/?mlat=30.269624&mlon=-97.749402#map=18/30.269624/-97.749402,"511, Rio Grande Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo-Fr 16:00-02:00,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Dirty Dog Bar,Bar / Nightlife,node,1481633303,30.26659,-97.737979,https://www.openstreetmap.org/node/1481633303#map=19/30.266590/-97.737979,https://www.openstreetmap.org/?mlat=30.266590&mlon=-97.737979#map=18/30.266590/-97.737979,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,https://dirtydogbar.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Dive,Bar / Nightlife,node,2726430202,30.279844,-97.742124,https://www.openstreetmap.org/node/2726430202#map=19/30.279844/-97.742124,https://www.openstreetmap.org/?mlat=30.279844&mlon=-97.742124#map=18/30.279844/-97.742124,"1703, Guadalupe Street, Austin, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins","Mo-Fr 15:00-02:00, Sa 16:00-02:00, Su 18:00-24:00",+1-512-482-3483,,https://www.diveaustin.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Donn's Depot,Bar / Nightlife,node,1481721293,30.27407,-97.763434,https://www.openstreetmap.org/node/1481721293#map=19/30.274070/-97.763434,https://www.openstreetmap.org/?mlat=30.274070&mlon=-97.763434#map=18/30.274070/-97.763434,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
DuMont's Down Low,Bar / Nightlife,way,328631295,30.267007,-97.745325,https://www.openstreetmap.org/way/328631295#map=19/30.267007/-97.745325,https://www.openstreetmap.org/?mlat=30.267007&mlon=-97.745325#map=18/30.267007/-97.745325,"214, West 4th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Easy Tiger,Bar / Nightlife,way,379194898,30.264026,-97.726995,https://www.openstreetmap.org/way/379194898#map=19/30.264026/-97.726995,https://www.openstreetmap.org/?mlat=30.264026&mlon=-97.726995#map=18/30.264026/-97.726995,"1501, East 7th Street, Austin, TX, 78702",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-839-8523,,https://www.easytigerusa.com/pages/east-austin,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Edwin's,Bar / Nightlife,node,7111030276,30.266257,-97.735894,https://www.openstreetmap.org/node/7111030276#map=19/30.266257/-97.735894,https://www.openstreetmap.org/?mlat=30.266257&mlon=-97.735894#map=18/30.266257/-97.735894,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Ego's,Bar / Nightlife,node,1481848589,30.256544,-97.74747,https://www.openstreetmap.org/node/1481848589#map=19/30.256544/-97.747470,https://www.openstreetmap.org/?mlat=30.256544&mlon=-97.747470#map=18/30.256544/-97.747470,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Ellis,Bar / Nightlife,way,772281126,30.264043,-97.74405,https://www.openstreetmap.org/way/772281126#map=19/30.264043/-97.744050,https://www.openstreetmap.org/?mlat=30.264043&mlon=-97.744050#map=18/30.264043/-97.744050,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Elysium,Bar / Nightlife,node,3849779422,30.267678,-97.736591,https://www.openstreetmap.org/node/3849779422#map=19/30.267678/-97.736591,https://www.openstreetmap.org/?mlat=30.267678&mlon=-97.736591#map=18/30.267678/-97.736591,"705, Red River Street, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,http://www.elysiumonline.net/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Empire Control Room,Bar / Nightlife,way,328649872,30.267404,-97.736054,https://www.openstreetmap.org/way/328649872#map=19/30.267404/-97.736054,https://www.openstreetmap.org/?mlat=30.267404&mlon=-97.736054#map=18/30.267404/-97.736054,"606, East 7th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,info@heardent.com,https://empireatx.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Empire Garage,Bar / Nightlife,way,328649867,30.267647,-97.736179,https://www.openstreetmap.org/way/328649867#map=19/30.267647/-97.736179,https://www.openstreetmap.org/?mlat=30.267647&mlon=-97.736179#map=18/30.267647/-97.736179,"604, East 7th Street, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Estelle's Social Lounge,Bar / Nightlife,way,328631296,30.26683,-97.745018,https://www.openstreetmap.org/way/328631296#map=19/30.266830/-97.745018,https://www.openstreetmap.org/?mlat=30.266830&mlon=-97.745018#map=18/30.266830/-97.745018,"400, Colorado Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Tu-We 16:00-24:00; Th-Fr 16:00-02:00; Sa 12:00-02:00; Su 12:00-24:00,+15129007626,estelle@nocohospitalityatx.com,https://www.estellesatx.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Firehouse Lounge & Hostel,Bar / Nightlife,way,99256740,30.268165,-97.741063,https://www.openstreetmap.org/way/99256740#map=19/30.268165/-97.741063,https://www.openstreetmap.org/?mlat=30.268165&mlon=-97.741063#map=18/30.268165/-97.741063,"605, Brazos Street, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Flamingo Cantina,Bar / Nightlife,way,328607280,30.266437,-97.737762,https://www.openstreetmap.org/way/328607280#map=19/30.266437/-97.737762,https://www.openstreetmap.org/?mlat=30.266437&mlon=-97.737762#map=18/30.266437/-97.737762,"515, East 6th Street, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-494-9336,,https://flamingocantina.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Floppy Disk Repair Co.,Bar / Nightlife,node,6564776552,30.2667,-97.74209,https://www.openstreetmap.org/node/6564776552#map=19/30.266700/-97.742090,https://www.openstreetmap.org/?mlat=30.266700&mlon=-97.742090#map=18/30.266700/-97.742090,"119, East 5th Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,http://www.floppydiskrepairco.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
