venue,slug,area_label,category,asset_type,asset_file,dimensions,derived_from_source_file,source_image_url,source_page,download_page,source_type,rights_status,notes
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,source_original,images/pelons/source/02_pelons_bar.webp,2500x1706,,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686161516958-1RFVHPOYW0KG1GD3YC2R/Bar%2B508%2B-%2BJanuary%2B2019-43.jpg,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets; Squarespace served downloads as WebP.
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,source_original,images/pelons/source/03_pelons_tacos.webp,1200x800,,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686163610818-YIQ1MF8OF40FMIONZNPX/Tacos.jpg,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets; Squarespace served downloads as WebP.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,hero_clean,images/scholz-garten/scholz-garten_hero_clean_1600x900.png,1600x900,images/scholz-garten/source/01_scholz_banner1.jpg,https://www.scholzgarten.com/images/banner1.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,listing_card,images/scholz-garten/scholz-garten_listing_card_1600x900.png,1600x900,images/scholz-garten/source/01_scholz_banner1.jpg,https://www.scholzgarten.com/images/banner1.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,map_thumb,images/scholz-garten/scholz-garten_map_thumb_512x512.png,512x512,images/scholz-garten/source/01_scholz_banner1.jpg,https://www.scholzgarten.com/images/banner1.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,source_original,images/scholz-garten/source/01_scholz_banner1.jpg,1200x460,,https://www.scholzgarten.com/images/banner1.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,source_original,images/scholz-garten/source/02_scholz_banner2.jpg,1200x460,,https://www.scholzgarten.com/images/banner2.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,source_original,images/scholz-garten/source/03_scholz_gallery_historic.jpg,1500x993,,https://www.scholzgarten.com/images/gallery/1500-01.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
Scholz Garten,scholz-garten,Drinks nearby · Red River,Beer Garden,source_original,images/scholz-garten/source/04_scholz_banner3.jpg,1200x460,,https://www.scholzgarten.com/images/banner3.jpg,https://www.scholzgarten.com/about/gallery/,https://www.scholzgarten.com/,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Scholz site exposes mostly historical/brand imagery. Included owned assets and flagged for future replacement with venue-approved current patio photography if needed.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,hero_clean,images/24-diner/24-diner_hero_clean_1600x900.png,1600x900,images/24-diner/source/01_24diner_interior.webp,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600027300302-WW65VLYVB82JKSPXE2OP/0001_24diner_final.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,listing_card,images/24-diner/24-diner_listing_card_1600x900.png,1600x900,images/24-diner/source/01_24diner_interior.webp,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600027300302-WW65VLYVB82JKSPXE2OP/0001_24diner_final.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,map_thumb,images/24-diner/24-diner_map_thumb_512x512.png,512x512,images/24-diner/source/01_24diner_interior.webp,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600027300302-WW65VLYVB82JKSPXE2OP/0001_24diner_final.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,source_original,images/24-diner/source/01_24diner_interior.webp,2500x3750,,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600027300302-WW65VLYVB82JKSPXE2OP/0001_24diner_final.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,source_original,images/24-diner/source/02_24diner_burger.webp,1080x720,,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600031808551-FQ4UYVFOGK5LP6ZA7VTP/24-diner-burger-fries.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
24 Diner,24-diner,Drinks nearby · West End,Diner / Late Night,source_original,images/24-diner/source/03_24diner_milkshake.webp,2500x3750,,https://images.squarespace-cdn.com/content/v1/5f5e3b745c49976ab6b566f1/1600027342243-P24UMQNL4QFL46PTQIND/0056_24diner_final.jpg,https://www.24diner.com/24-diner-gallery,https://www.24diner.com/24-diner-gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,hero_clean,images/aris/aris_hero_clean_1600x900.png,1600x900,images/aris/source/01_aris_bar.jpg,https://arisrestaurant.us/wp-content/uploads/2025/03/arf13.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets from Aris website.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,listing_card,images/aris/aris_listing_card_1600x900.png,1600x900,images/aris/source/01_aris_bar.jpg,https://arisrestaurant.us/wp-content/uploads/2025/03/arf13.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets from Aris website.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,map_thumb,images/aris/aris_map_thumb_512x512.png,512x512,images/aris/source/01_aris_bar.jpg,https://arisrestaurant.us/wp-content/uploads/2025/03/arf13.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets from Aris website.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,source_original,images/aris/source/01_aris_bar.jpg,1200x1200,,https://arisrestaurant.us/wp-content/uploads/2025/03/arf13.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets from Aris website.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,source_original,images/aris/source/02_aris_dining_room.jpg,1200x1200,,https://arisrestaurant.us/wp-content/uploads/2025/03/arf12.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets from Aris website.
Aris,aris,Drinks nearby · West 6th,Mediterranean Steakhouse,source_original,images/aris/source/03_aris_cocktail.jpg,1366x1366,,https://arisrestaurant.us/wp-content/uploads/2025/03/arf16.jpg,https://arisrestaurant.us/,https://arisrestaurant.us/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets from Aris website.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,hero_clean,images/atx-cocina/atx-cocina_hero_clean_1600x900.png,1600x900,images/atx-cocina/source/01_atx_cocina_cocktail.webp,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140884317-SDL04YCQZ3PEN8YTLXKZ/PBPR_ATX%2BCocina_2017-1.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,listing_card,images/atx-cocina/atx-cocina_listing_card_1600x900.png,1600x900,images/atx-cocina/source/01_atx_cocina_cocktail.webp,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140884317-SDL04YCQZ3PEN8YTLXKZ/PBPR_ATX%2BCocina_2017-1.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,map_thumb,images/atx-cocina/atx-cocina_map_thumb_512x512.png,512x512,images/atx-cocina/source/01_atx_cocina_cocktail.webp,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140884317-SDL04YCQZ3PEN8YTLXKZ/PBPR_ATX%2BCocina_2017-1.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official gallery assets; Squarespace served downloads as WebP.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,source_original,images/atx-cocina/source/01_atx_cocina_cocktail.webp,2500x1667,,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140884317-SDL04YCQZ3PEN8YTLXKZ/PBPR_ATX%2BCocina_2017-1.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,source_original,images/atx-cocina/source/02_atx_cocina_bar.webp,1000x667,,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140888215-71PTHBOF7GQQO3CP0IY9/PBPR_ATX-Cocina_2017-22.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
ATX Cocina,atx-cocina,Drinks nearby · Second Street,Modern Mexican,source_original,images/atx-cocina/source/03_atx_cocina_interior.webp,1000x667,,https://images.squarespace-cdn.com/content/v1/5e99be2bc84ecc45a94f76de/1587140887358-RGTWGZ0HC0RU81JGM8BP/PBPR_ATX-Cocina_2017-24.jpg,https://www.atxcocina.com/gallery,https://www.atxcocina.com/gallery,Official business website/gallery,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official gallery assets; Squarespace served downloads as WebP.
