asset_path,inferred_entity,reason,confidence,next_action
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (22).jpeg","user-attachment-22","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (23).jpeg","user-attachment-23","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (24).jpeg","user-attachment-24","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (25).jpeg","user-attachment-25","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (26).jpeg","user-attachment-26","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (27).jpeg","user-attachment-27","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (28).jpeg","user-attachment-28","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (29).jpeg","user-attachment-29","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (3).jpeg","user-attachment-3","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (30).jpeg","user-attachment-30","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (31).jpeg","user-attachment-31","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (32).jpeg","user-attachment-32","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (33).jpeg","user-attachment-33","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (34).jpeg","user-attachment-34","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (35).jpeg","user-attachment-35","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (36).jpeg","user-attachment-36","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (37).jpeg","user-attachment-37","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (38).jpeg","user-attachment-38","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (39).jpeg","user-attachment-39","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (4).jpeg","user-attachment-4","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (40).jpeg","user-attachment-40","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (41).jpeg","user-attachment-41","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (42).jpeg","user-attachment-42","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (43).jpeg","user-attachment-43","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (44).jpeg","user-attachment-44","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (45).jpeg","user-attachment-45","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (46).jpeg","user-attachment-46","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (47).jpeg","user-attachment-47","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (48).jpeg","user-attachment-48","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (49).jpeg","user-attachment-49","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (5).jpeg","user-attachment-5","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (6).jpeg","user-attachment-6","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (63).jpeg","user-attachment-63","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (64).jpeg","user-attachment-64","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (65).jpeg","user-attachment-65","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (66).jpeg","user-attachment-66","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (67).jpeg","user-attachment-67","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (68).jpeg","user-attachment-68","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (7).jpeg","user-attachment-7","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (8).jpeg","user-attachment-8","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (80).jpeg","user-attachment-80","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (82).jpeg","user-attachment-82","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (83).jpeg","user-attachment-83","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (86).jpeg","user-attachment-86","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (87).jpeg","user-attachment-87","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (88).jpeg","user-attachment-88","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (89).jpeg","user-attachment-89","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (9).jpeg","user-attachment-9","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (90).jpeg","user-attachment-90","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (91).jpeg","user-attachment-91","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (92).jpeg","user-attachment-92","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (93).jpeg","user-attachment-93","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment - 2026-07-11T170229.225.jpeg","user-attachment-2026-07-11t170229-225","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment - 2026-07-11T170230.848.jpeg","user-attachment-2026-07-11t170230-848","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment - 2026-07-11T170232.617.jpeg","user-attachment-2026-07-11t170232-617","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment - 2026-07-11T170234.441.jpeg","user-attachment-2026-07-11t170234-441","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image106.gif","image106","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image13.gif","image13","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image230.jpg","image230","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image244.gif","image244","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image33.gif","image33","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image333.jpeg","image333","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image361.gif","image361","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image366.gif","image366","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image452.gif","image452","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image457.gif","image457","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image461.jpg","image461","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image48.gif","image48","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image50.jpeg","image50","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image51.jpeg","image51","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image78.gif","image78","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image79.jpeg","image79","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/image80.gif","image80","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/LVP9488-scaled-e1777492186772.jpg","lvp9488-scaled-e1777492186772","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO0907.jpg","paseo0907","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1036.jpg","paseo1036","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1139-2-e1769807945951.jpg","paseo1139-2-e1769807945951","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1314.jpg","paseo1314","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1402.jpg","paseo1402","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1508.jpg","paseo1508","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1577.jpg","paseo1577","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1804-1.jpg","paseo1804-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO2780.jpg","paseo2780","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO3030-1.jpg","paseo3030-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO3346.jpg","paseo3346","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-Dog-Run-Rendering-e1767804941791.png","paseo-dog-run-rendering-e1767804941791","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-Revive-Lounge-Rendering-e1767804971820.png","paseo-revive-lounge-rendering-e1767804971820","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-staged-final-full-size-1-scaled.jpg","paseo-staged-final-full-size-1-scaled","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Rectangle-48-1.png","rectangle-48-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Rectangle-48-2.png","rectangle-48-2","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/paseo-cielo-room-1-1024x683.jpg","paseo-cielo-room-1-1024x683","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/paseo-concierge-1.jpg","paseo-concierge-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/paseo-daydreamer-and-lobby-1024x683.jpg","paseo-daydreamer-and-lobby-1024x683","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRAND COLLAB & MARKETING/ChatGPT Image Jul 14, 2026, 10_48_53 AM.png","chatgpt-image-jul-14-2026-10-48-53-am","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRAND COLLAB & MARKETING/shitts creek.png","shitts-creek","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/1414e381.jpeg","1414e381","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/1ad5be0d (1).jpeg","1ad5be0d-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/1ad5be0d.jpeg","1ad5be0d","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/3854745b.jpeg","3854745b","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/4f5344cd.jpeg","4f5344cd","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/63bd283b-6525-4a58-85bf-e13564f11b1c.avif","63bd283b-6525-4a58-85bf-e13564f11b1c","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/6abf4a82.jpeg","6abf4a82","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/6dd28e9b (1).jpeg","6dd28e9b-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/6dd28e9b.jpeg","6dd28e9b","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7 (1).jpeg","83dcefb7-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7 (2).jpeg","83dcefb7-2","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7 (3).jpeg","83dcefb7-3","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7 (4).jpeg","83dcefb7-4","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7 (5).jpeg","83dcefb7-5","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/83dcefb7.jpeg","83dcefb7","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/84abfe10.jpeg","84abfe10","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/84b12bae.jpeg","84b12bae","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/BOWIE.jpeg","bowie","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/INDEPENDANT INFINITY POOL.jpeg","independant-infinity-pool","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/aacdlhvpk3bq3ysj5gm9.avif","aacdlhvpk3bq3ysj5gm9","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/af86add3.jpeg","af86add3","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/BRANDS/LEGENDS/amli .jpeg","amli","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
