file,line,reference,intended_entity,replacement,status,notes
"src/lib/map/entityImageResolver.ts","31","const PROPERTY_PLACEHOLDER_REPLACEMENT = ""/images/imported/perks/prospective-residents-walking-through-the-neighborhood.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","38","""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","44","""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","46","dining: [""/images/map-entities/perks/partner_dining_patio_1779052819620.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","47","coffee: [""/images/map-entities/perks/partner_coffee_shop_1779052868356.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","48","hotel: [""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","49","wellness: [""/images/map-entities/perks/partner_wellness_1779052883675.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","51","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","53","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","83","""moody-amphitheater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","88","""moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","89","""waterloo-moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","499","jwMarriott: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","513","jwMarriott: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","634","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","702","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","706","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","713","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","808","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","841","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","9","""the-austonian"": ""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","10","austonian: ""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","54","""moody-theater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","55","""moody-ampitheater-at-waterloo-park"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","64","hotel: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","65","hospitality: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","67","offer: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","68","perk: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","69","brand: ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","73","""restaurant-dining"": ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","74","""coffee-cafe"": ""/images/map-entities/perks/partner_coffee_shop_1779052868356.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","75","""retail-business"": ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","76","""fitness-wellness"": ""/images/map-entities/perks/partner_wellness_1779052883675.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","80","""event-access"": ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","81","""brand-activation"": ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","84","venue: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","85","default: ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","93","""red river"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/useLocations.js","1297","image: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","8105","""moody-amphitheater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","8110","""moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","8111","""waterloo-moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","9263","if (text.includes(""wellness"") || text.includes(""recovery"") || text.includes(""bath"")) return ""/images/map-entities/perks/partner_wellness_1779052883675.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","9660","[""Visitors"", ""An easy way to understand this part of downtown without a formal tour."", ""/images/map-entities/perks/downtown_art_walk_1779052670656.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","11935","[/malin|public art|art walk|johnston/, ""/images/map-entities/perks/downtown_art_walk_1779052670656.png""],","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/ResidentHome.tsx","231","<img src=""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"" alt=""Live music performance in downtown Austin"" />","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
